parameterization,k,num_sequences,init_confidence,synthetic_parameters,distill_run,eval_run,distill_best_step,distill_best_inner_loss,distill_final_inner_loss,best_epoch,val_perplexity,test_perplexity,final_epoch,final_val_perplexity,final_test_perplexity,series_source,distill_steps,train_ppl
topk,64,256,12.5,2097152,tm_topk_k64_n256_conf125,eval_tm_topk_k64_n256_conf125,91,0.1723049283027649,0.4667869508266449,9,70.1152739705047,66.955276943342,15,76.85757095779385,72.69889895967506,results_seq128_nl2_do01_distil100_e15,100,34.78046239068882
topk,128,256,12.5,4194304,tm_topk_k128_n256_conf125,eval_tm_topk_k128_n256_conf125,66,0.17570769786834717,0.955722987651825,10,69.56067722748591,66.40886054835791,15,75.1387878515092,71.46980742161936,results_seq128_nl2_do01_distil100_e15,100,30.35721589841863
topk,256,256,12.5,8388608,tm_topk_k256_n256_conf125,eval_tm_topk_k256_n256_conf125,24,0.16608361899852753,0.5476511716842651,9,69.72030938660502,66.57752499312251,15,75.45825967756564,71.67944204027742,results_seq128_nl2_do01_distil100_e15,100,34.62661195642968
topk_gumbel,64,256,12.5,33554432,tm_gumbel_k64_n256_conf125,eval_tm_gumbel_k64_n256_conf125,72,0.1621590107679367,0.4663183391094208,10,71.24161627264144,67.80531028546613,15,77.23657452567595,73.23955221164415,results_seq128_nl2_do01_distil100_e15,100,30.775081931315924
topk_gumbel,128,256,12.5,33554432,tm_gumbel_k128_n256_conf125,eval_tm_gumbel_k128_n256_conf125,72,0.16211849451065063,0.46611595153808594,10,71.23997734620154,67.80440574197108,15,77.22723834049485,73.23157302314665,results_seq128_nl2_do01_distil100_e15,100,30.818085898865444
topk_gumbel,256,256,12.5,33554432,tm_gumbel_k256_n256_conf125,eval_tm_gumbel_k256_n256_conf125,72,0.1620384007692337,0.4657147526741028,10,71.23740451019759,67.80320594907303,15,77.20968608397595,73.21663794335822,results_seq128_nl2_do01_distil100_e15,100,30.903948270492144
topk,64,256,12.5,2097152,tm_topk_k64_n256_conf125,eval_tm_topk_k64_n256_conf125,113,0.16764572262763977,0.8097202181816101,9,70.11525670327399,66.95526977763296,15,76.85741418784714,72.69876961055382,results_seq128_nl2_do01_distil200_e15,200,34.781377536703246
topk,128,256,12.5,4194304,tm_topk_k128_n256_conf125,eval_tm_topk_k128_n256_conf125,167,0.17224395275115967,0.47813862562179565,10,69.56012047858052,66.40847309773211,15,75.13724824208619,71.46856323156952,results_seq128_nl2_do01_distil200_e15,200,30.36745957163477
topk,256,256,12.5,8388608,tm_topk_k256_n256_conf125,eval_tm_topk_k256_n256_conf125,24,0.16608360409736633,0.20308682322502136,9,69.7203094260535,66.57752510108129,15,75.45826070224823,71.67944407433443,results_seq128_nl2_do01_distil200_e15,200,34.626611569447135
topk_gumbel,64,256,12.5,33554432,tm_gumbel_k64_n256_conf125,eval_tm_gumbel_k64_n256_conf125,72,0.1621590256690979,0.76522296667099,10,71.24161643387858,67.8053090691473,15,77.23657518119542,73.2395539930685,results_seq128_nl2_do01_distil200_e15,200,30.77508135808536
topk_gumbel,128,256,12.5,33554432,tm_gumbel_k128_n256_conf125,eval_tm_gumbel_k128_n256_conf125,72,0.16211850941181183,0.7647556066513062,10,71.23997695319507,67.80440436761783,15,77.22723804554673,73.23157337197087,results_seq128_nl2_do01_distil200_e15,200,30.818086128478075
topk_gumbel,256,256,12.5,33554432,tm_gumbel_k256_n256_conf125,eval_tm_gumbel_k256_n256_conf125,72,0.1620384007692337,0.7638355493545532,10,71.23740527602872,67.8032060521477,15,77.20968721981414,73.2166363331577,results_seq128_nl2_do01_distil200_e15,200,30.9039485007445
topk,64,256,12.5,2097152,tm_topk_k64_n256_conf125,eval_tm_topk_k64_n256_conf125,113,0.16764572262763977,0.5788891315460205,9,70.11525572139254,66.9552691194192,15,76.85741357903241,72.69876819593723,results_seq128_nl2_do01_distil300_e15,300,34.781377666273976
topk,128,256,12.5,4194304,tm_topk_k128_n256_conf125,eval_tm_topk_k128_n256_conf125,214,0.17158858478069305,0.5801047682762146,10,69.55979406480006,66.4082131137607,15,75.13635405083726,71.4677747719059,results_seq128_nl2_do01_distil300_e15,300,30.373779763367356
topk,256,256,12.5,8388608,tm_topk_k256_n256_conf125,eval_tm_topk_k256_n256_conf125,269,0.16214510798454285,0.5798633694648743,9,69.71298095803365,66.57182210403136,15,75.43758344489017,71.66178544080586,results_seq128_nl2_do01_distil300_e15,300,34.70334144577884
topk_gumbel,64,256,12.5,33554432,tm_gumbel_k64_n256_conf125,eval_tm_gumbel_k64_n256_conf125,72,0.1621590107679367,0.4121190011501312,10,71.24161659511573,67.80530928904676,15,77.23657452567595,73.23955345864121,results_seq128_nl2_do01_distil300_e15,300,30.775081931315924
topk_gumbel,128,256,12.5,33554432,tm_gumbel_k128_n256_conf125,eval_tm_gumbel_k128_n256_conf125,72,0.16211850941181183,0.411979615688324,10,71.23997750743499,67.8044055770487,15,77.22723869006292,73.23157337197087,results_seq128_nl2_do01_distil300_e15,300,30.818085898865444
topk_gumbel,256,256,12.5,33554432,tm_gumbel_k256_n256_conf125,eval_tm_gumbel_k256_n256_conf125,72,0.1620384007692337,0.4117095172405243,10,71.23740479234588,67.80320413495883,15,77.20968691401157,73.2166371048667,results_seq128_nl2_do01_distil300_e15,300,30.903948846123043
topk,64,256,12.5,2097152,tm_topk_k64_n256_conf125,eval_tm_topk_k64_n256_conf125,113,0.16764572262763977,0.6707278490066528,9,70.11525563213056,66.95526770799174,15,76.85741401390007,72.69876707603248,results_seq128_nl2_do01_distil400_e15,400,34.781377795844705
topk,128,256,12.5,4194304,tm_topk_k128_n256_conf125,eval_tm_topk_k128_n256_conf125,214,0.17158858478069305,0.2804766893386841,10,69.559793946727,66.40821332912923,15,75.13635409335019,71.46777465601733,results_seq128_nl2_do01_distil400_e15,400,30.37377953706506
topk,256,256,12.5,8388608,tm_topk_k256_n256_conf125,eval_tm_topk_k256_n256_conf125,269,0.16214512288570404,0.3984791040420532,9,69.71297867026047,66.57181929734277,15,75.43757798141401,71.66177992115432,results_seq128_nl2_do01_distil400_e15,400,34.70334260929905
topk_gumbel,64,256,12.5,33554432,tm_gumbel_k64_n256_conf125,eval_tm_gumbel_k64_n256_conf125,301,0.16196681559085846,0.4953787326812744,10,71.23714734255131,67.80146906693345,15,77.226676684881,73.23083761623323,results_seq128_nl2_do01_distil400_e15,400,30.798928844401107
topk_gumbel,128,256,12.5,33554432,tm_gumbel_k128_n256_conf125,eval_tm_gumbel_k128_n256_conf125,301,0.16190789639949799,0.49501097202301025,10,71.23157494991126,67.79723091878583,15,77.20842286750455,73.21500748130656,results_seq128_nl2_do01_distil400_e15,400,30.865745636391495
topk_gumbel,256,256,12.5,33554432,tm_gumbel_k256_n256_conf125,eval_tm_gumbel_k256_n256_conf125,301,0.16179259121418,0.49431276321411133,10,71.21996813543818,67.788190244219,15,77.1708961012604,73.1822758178111,results_seq128_nl2_do01_distil400_e15,400,30.998255070391984
